0,1,
0,11,
0,199,
1,2,
2,3,
2,7,
3,4,
3,6,
4,5,
5,6,
6,7,
7,8,
8,9,
9,10,
10,11,
11,12,
11,198,
12,13,
12,153,
13,14,
13,17,
14,15,
15,16,
16,17,
17,18,
18,19,
18,146,
18,150,
19,20,
20,21,
21,22,
21,146,
22,23,
22,139,
23,24,
23,138,
24,25,
25,26,
26,27,
26,28,
26,69,
27,28,
28,29,
28,60,
28,64,
28,69,
29,30,
30,31,
30,60,
31,32,
32,33,
33,34,
33,37,
33,40,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
41,58,
41,59,
42,43,
42,53,
42,57,
42,58,
43,44,
43,52,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,57,
57,58,
58,59,
59,60,
60,61,
61,62,
61,64,
62,63,
62,64,
63,64,
64,65,
64,66,
65,66,
66,67,
67,68,
68,69,
69,70,
70,71,
70,76,
70,78,
71,72,
72,73,
73,74,
74,75,
75,76,
76,77,
77,78,
78,79,
78,129,
78,136,
79,80,
80,81,
80,115,
81,82,
82,83,
82,115,
83,84,
84,85,
84,113,
85,86,
85,87,
85,109,
86,87,
87,88,
88,89,
88,104,
89,90,
90,91,
91,92,
91,97,
92,93,
92,94,
92,97,
93,94,
94,95,
95,96,
96,97,
97,98,
98,99,
99,100,
99,101,
100,101,
101,102,
102,103,
103,104,
104,105,
105,106,
106,107,
107,108,
108,109,
109,110,
110,111,
110,112,
111,112,
112,113,
113,114,
114,115,
115,116,
116,117,
116,123,
116,129,
117,118,
118,119,
118,122,
119,120,
120,121,
121,122,
122,123,
123,124,
123,125,
123,127,
124,125,
125,126,
126,127,
127,128,
127,129,
128,129,
129,130,
130,131,
131,132,
131,134,
132,133,
133,134,
134,135,
135,136,
136,137,
137,138,
138,139,
139,140,
139,141,
139,143,
140,141,
141,142,
142,143,
143,144,
144,145,
144,146,
145,146,
146,147,
147,148,
148,149,
149,150,
150,151,
151,152,
151,153,
152,153,
153,154,
153,198,
154,155,
154,156,
155,156,
156,157,
157,158,
157,160,
157,198,
158,159,
159,160,
160,161,
160,198,
161,162,
162,163,
162,172,
163,164,
163,171,
164,165,
164,166,
164,170,
165,166,
166,167,
167,168,
167,169,
168,169,
169,170,
170,171,
171,172,
172,173,
172,174,
172,189,
172,198,
173,174,
174,175,
174,189,
175,176,
175,186,
175,188,
176,177,
177,178,
177,179,
177,185,
177,186,
178,179,
179,180,
179,181,
180,181,
181,182,
181,184,
182,183,
183,184,
184,185,
185,186,
186,187,
187,188,
188,189,
189,190,
189,197,
189,198,
190,191,
190,197,
191,192,
191,197,
192,193,
192,196,
192,197,
193,194,
193,196,
194,195,
194,196,
195,196,
196,197,
197,198,
198,199,
